title,price,old_price,discount,rating
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),KSh 929,"KSh 1,399",34%,3.8 out of 5
RichRipple LED Display Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 519,KSh 920,44%,3.7 out of 5
"Vitron HTC4388FS - 43"" Smart Android Frameless TV - Black","KSh 19,799","KSh 28,599",31%,3.9 out of 5
AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1YR WRTY),KSh 902,"KSh 1,599",44%,3.9 out of 5
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black(1YR WRTY),"KSh 11,328","KSh 20,168",44%,4 out of 5
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 499,KSh 754,34%,4.1 out of 5
Starlink Standard Actuated Kit,"KSh 45,500","KSh 100,000",55%,4.8 out of 5
AILYONS TYB-205 Blender 2In1 With GrinderMachine 1.5LBlack (1YR WRTY),"KSh 1,699","KSh 2,599",35%,4.1 out of 5
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)","KSh 12,180","KSh 18,069",33%,4 out of 5
"AILYONS LST3208W 32"" Smart Android FHD Frameless TV - HDMI, 1YR WRTY","KSh 11,499","KSh 18,999",39%,4.1 out of 5
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White (1YR WRTY),KSh 738,"KSh 1,399",47%,4 out of 5
"Samsung GALAXY A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black","KSh 15,678","KSh 29,999",48%,4.2 out of 5
Lyons FY-1731 Blender 2 In 1 With Grinder Machines  1.5L,"KSh 1,599","KSh 2,599",38%,4 out of 5
RichRipple Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mice,KSh 406,KSh 734,45%,4.4 out of 5
"Vitron HTC3200S,32""Inch Frameless Smart Android TV NetflixYoutube+FREE TVGuard+Bracket","KSh 13,995","KSh 20,000",30%,4.2 out of 5
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)","KSh 5,780","KSh 7,599",24%,4 out of 5
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner (1YR WRTY)","KSh 2,298","KSh 3,299",30%,4.1 out of 5
"XIAOMI Redmi 13C , 6.74""  8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Midnight Black","KSh 16,450","KSh 30,999",47%,4.2 out of 5
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 499,KSh 826,40%,4 out of 5
RichRipple Pro6 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 557,"KSh 1,009",45%,3.9 out of 5
AILYONS FK-0308 Stainless Steel 2.2L Electric Kettle (1YR WRTY),KSh 902,"KSh 1,599",44%,4.1 out of 5
Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,KSh 390,KSh 700,44%,3.8 out of 5
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 492,KSh 826,40%,4.2 out of 5
Stereo F9 Bluetooth Earphone  Power Headset,KSh 510,KSh 932,45%,3.8 out of 5
"XIAOMI Redmi 13C, 6.71""(4GB RAM+128GB Storage)5000mAh Dual Sim-Black","KSh 13,349","KSh 13,990",5%,4.3 out of 5
Itel ISW-O11 Waterproof Native Storm  Smart Watch,"KSh 1,550","KSh 2,200",30%,4.2 out of 5
TWS Bluetooth Earphones Sports Wireless Headphones With Mic,KSh 420,KSh 800,48%,3.9 out of 5
Amaze Fridge/Freezer Guard-UnderVoltage&Surge Protection,KSh 599,"KSh 1,000",40%,4.2 out of 5
"14""-42"" TV Flat Panel Wall Bracket Holder Black",KSh 245,KSh 450,46%,4.1 out of 5
"Samsung Galaxy A15, 6.5'' Display, 4GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue(2YRs WRTY)","KSh 15,499","KSh 29,999",48%,4.4 out of 5
Hikers 32'' Digital Frameless HD LED TV-Black,"KSh 10,259","KSh 15,950",36%,3.9 out of 5
"Infinix HOT 40i,5000mah,(4GB RAM+4GB RAM)128GB ROM,50MP,TYPE-C,+BUDS WATCH","KSh 13,199","KSh 20,000",34%,4.2 out of 5
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow,"KSh 1,820","KSh 2,999",39%,4.1 out of 5
Ace Elec ACEELEC F9 Wireless Fingerprint Touch Bluetooth Headset,KSh 380,KSh 700,46%,3.9 out of 5
"Samsung Galaxy A05, 6.7"", 64GB + 4GB (Dual SIM), 5000mAh, Black (2YRs WRTY)","KSh 11,901","KSh 13,000",8%,3.9 out of 5
"AILYONS SB501 2.1CH Sound Bar SubWoofer With Bluetooth Home Theatrer 18000W PMPO - Black, 1YR WRTY","KSh 4,569","KSh 8,999",49%,3.8 out of 5
"Power King Extension Cable With 6 AC Power Outlets, 13A, And 2 M Long Cable",KSh 480,KSh 550,13%,4 out of 5
"Tecno Spark 20, 6.6'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Cyber White","KSh 14,395","KSh 25,999",45%,4.2 out of 5
Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover.,KSh 650,"KSh 1,249",48%,3.8 out of 5
LED 2.4G Rechargeable Wireless Mouse,KSh 475,KSh 931,49%,4.5 out of 5
